datetime,temperature,humidity,wind_speed,source
2025-07-15 14:30:00,28.65,47,6.4,forecast
2025-07-15 17:30:00,29.6,46,6.25,forecast
2025-07-15 20:30:00,27.53,51,5.05,forecast
2025-07-15 23:30:00,27.08,53,4.15,forecast
2025-07-16 02:30:00,29.21,57,3.34,forecast
2025-07-16 05:30:00,26.48,59,2.83,forecast
2025-07-16 08:30:00,32.67,52,3.76,forecast
2025-07-16 11:30:00,35.3,45,4.77,forecast
2025-07-16 14:30:00,35.1,46,4.69,forecast
2025-07-16 17:30:00,33.24,54,2.08,forecast
2025-07-16 20:30:00,32.97,54,3.89,forecast
2025-07-16 23:30:00,30.37,67,4.37,forecast
2025-07-17 02:30:00,29.42,72,3.48,forecast
2025-07-17 05:30:00,28.96,73,3.54,forecast
2025-07-17 08:30:00,29.02,73,3.55,forecast
2025-07-17 11:30:00,28.49,75,2.81,forecast
2025-07-17 14:30:00,28.71,73,3.57,forecast
2025-07-17 17:30:00,28.92,72,3.55,forecast
2025-07-17 20:30:00,28.6,74,2.45,forecast
2025-07-17 23:30:00,28.77,73,1.87,forecast
2025-07-18 02:30:00,28.45,75,0.89,forecast
2025-07-18 05:30:00,28.45,74,1.44,forecast
2025-07-18 08:30:00,30.05,65,1.84,forecast
2025-07-18 11:30:00,33.82,50,1.35,forecast
2025-07-18 14:30:00,35.14,46,2.27,forecast
2025-07-18 17:30:00,34.07,51,1.4,forecast
2025-07-18 20:30:00,33.0,56,3.44,forecast
2025-07-18 23:30:00,30.93,62,3.04,forecast
2025-07-19 02:30:00,30.31,65,2.42,forecast
2025-07-19 05:30:00,29.74,69,2.5,forecast
2025-07-19 08:30:00,31.73,61,2.56,forecast
2025-07-19 11:30:00,36.12,44,3.32,forecast
2025-07-19 14:30:00,37.52,37,2.77,forecast
2025-07-19 17:30:00,36.94,39,2.05,forecast
2025-07-19 20:30:00,36.24,42,2.6,forecast
2025-07-19 23:30:00,35.5,44,1.25,forecast
2025-07-20 02:30:00,34.25,49,0.24,forecast
2025-07-20 05:30:00,33.91,51,0.86,forecast
2025-07-20 08:30:00,34.98,48,1.95,forecast
2025-07-20 11:30:00,37.91,40,2.69,forecast
