datetime,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-06-29 13:00:00+00:00,175.82,0.0,4.83,70.64,0.76,3.95,7.69,10.52
2025-06-29 14:00:00+00:00,193.77,0.0,5.93,66.28,0.95,4.43,8.62,11.24
2025-06-29 15:00:00+00:00,209.94,0.0,6.43,62.93,1.08,4.95,9.18,9.85
2025-06-29 16:00:00+00:00,221.46,0.0,6.69,58.2,1.16,5.52,9.66,8.1
2025-06-29 17:00:00+00:00,235.1,0.0,7.15,53.45,1.24,6.24,10.7,7.42
2025-06-29 18:00:00+00:00,242.69,0.0,7.46,48.98,1.23,6.76,11.4,7.12
2025-06-29 19:00:00+00:00,239.95,0.0,7.25,45.47,1.14,6.92,11.36,6.75
2025-06-29 20:00:00+00:00,235.28,0.0,6.82,43.21,1.09,6.94,11.18,6.2
2025-06-29 21:00:00+00:00,228.36,0.0,6.32,41.76,1.05,6.8,10.84,5.7
2025-06-29 22:00:00+00:00,217.95,0.0,5.78,41.05,1.02,6.31,10.01,5.17
2025-06-29 23:00:00+00:00,205.15,0.0,5.33,40.33,0.96,5.62,8.86,4.8
2025-06-30 00:00:00+00:00,190.31,0.0,5.03,39.5,0.92,4.85,7.75,4.58
2025-06-30 01:00:00+00:00,177.84,0.0,5.08,38.1,0.96,4.23,7.25,4.7
2025-06-30 02:00:00+00:00,175.87,0.04,5.96,35.74,1.18,4.07,8.13,5.66
2025-06-30 03:00:00+00:00,179.34,0.16,7.1,33.38,1.43,4.19,9.61,7.15
2025-06-30 04:00:00+00:00,177.6,0.5,6.8,34.0,1.51,4.35,10.84,8.51
2025-06-30 05:00:00+00:00,172.12,0.76,5.78,37.46,1.53,4.57,11.49,9.57
2025-06-30 06:00:00+00:00,162.05,0.59,4.69,45.34,1.48,5.46,12.45,10.31
2025-06-30 07:00:00+00:00,137.75,0.25,3.03,55.4,1.14,5.82,11.85,9.27
2025-06-30 08:00:00+00:00,128.47,0.17,2.37,59.42,0.93,5.27,10.44,8.36
2025-06-30 09:00:00+00:00,126.67,0.12,2.29,60.85,0.87,4.94,9.99,8.16
2025-06-30 10:00:00+00:00,134.47,0.1,3.07,60.61,1.01,5.07,10.16,8.86
2025-06-30 11:00:00+00:00,150.45,0.1,4.73,57.7,1.21,5.6,10.83,9.99
2025-06-30 12:00:00+00:00,171.4,0.06,6.88,54.06,1.38,6.34,11.6,10.35
2025-06-30 13:00:00+00:00,198.78,0.02,9.34,48.43,1.56,7.59,13.52,11.21
2025-06-30 14:00:00+00:00,231.2,0.0,11.33,43.32,1.82,9.15,16.64,12.89
2025-06-30 15:00:00+00:00,255.45,0.0,12.23,39.87,1.97,10.37,19.19,13.87
2025-06-30 16:00:00+00:00,269.68,0.0,12.34,37.38,1.95,11.17,20.64,13.75
2025-06-30 17:00:00+00:00,276.23,0.0,12.1,35.48,1.86,11.5,21.32,13.13
2025-06-30 18:00:00+00:00,272.31,0.0,11.63,33.84,1.69,11.2,21.05,12.42
2025-06-30 19:00:00+00:00,259.19,0.0,10.71,32.75,1.52,10.29,18.94,11.06
2025-06-30 20:00:00+00:00,255.37,0.0,10.04,31.03,1.33,9.78,17.11,9.68
2025-06-30 21:00:00+00:00,259.61,0.0,9.54,29.11,1.17,9.69,16.13,8.89
2025-06-30 22:00:00+00:00,268.12,0.0,9.24,26.89,1.05,9.96,15.73,8.8
2025-06-30 23:00:00+00:00,278.04,0.0,9.12,24.99,0.97,10.55,16.16,9.37
2025-07-01 00:00:00+00:00,284.71,0.0,9.12,23.68,0.97,11.02,16.69,10.64
2025-07-01 01:00:00+00:00,298.84,0.03,10.41,21.64,1.17,11.18,17.02,9.94
2025-07-01 02:00:00+00:00,323.13,0.24,12.5,19.29,1.45,11.16,17.57,8.45
2025-07-01 03:00:00+00:00,337.59,0.64,13.64,19.04,1.59,11.15,17.76,7.5
2025-07-01 04:00:00+00:00,314.92,0.7,11.84,24.61,1.52,10.31,16.31,6.61
2025-07-01 05:00:00+00:00,304.62,0.82,10.58,29.97,1.51,10.1,15.67,6.13
2025-07-01 06:00:00+00:00,296.72,0.9,9.43,37.91,1.51,10.55,15.56,5.94
2025-07-01 07:00:00+00:00,247.82,0.64,6.25,54.02,1.25,10.41,14.53,5.11
2025-07-01 08:00:00+00:00,231.22,0.23,5.59,61.93,1.24,11.11,14.92,5.0
2025-07-01 09:00:00+00:00,235.37,0.13,5.48,68.04,1.36,12.41,16.04,5.11
2025-07-01 10:00:00+00:00,241.3,0.12,5.1,75.72,1.42,13.38,16.71,4.95
2025-07-01 11:00:00+00:00,249.42,0.14,5.07,80.94,1.45,14.17,17.34,4.92
2025-07-01 12:00:00+00:00,265.16,0.15,5.53,85.05,1.54,15.45,18.68,5.14
2025-07-01 13:00:00+00:00,316.85,0.17,9.82,78.87,1.9,18.63,23.09,7.82
2025-07-01 14:00:00+00:00,397.61,0.04,16.02,64.4,2.47,23.26,30.32,12.06
2025-07-01 15:00:00+00:00,469.96,0.0,20.04,52.37,2.85,27.34,37.0,15.33
2025-07-01 16:00:00+00:00,528.36,0.01,22.77,42.54,2.97,30.88,42.66,17.07
2025-07-01 17:00:00+00:00,584.75,0.03,24.89,34.78,2.95,34.8,48.41,17.1
2025-07-01 18:00:00+00:00,625.13,0.09,26.19,29.03,2.67,38.24,52.61,15.95
2025-07-01 19:00:00+00:00,637.26,0.18,26.04,24.86,2.2,40.41,54.48,14.32
2025-07-01 20:00:00+00:00,658.02,0.25,25.86,20.87,1.9,43.24,57.44,13.19
2025-07-01 21:00:00+00:00,679.94,0.33,25.58,17.92,1.72,46.66,61.17,12.49
2025-07-01 22:00:00+00:00,689.75,0.23,24.55,16.73,1.78,49.6,64.22,11.97
2025-07-01 23:00:00+00:00,701.96,0.31,23.58,16.26,1.8,52.42,67.2,11.5
2025-07-02 00:00:00+00:00,713.08,0.48,22.75,16.71,1.9,54.93,69.82,11.39
2025-07-02 01:00:00+00:00,724.47,0.92,21.51,18.79,2.21,56.68,71.68,11.17
2025-07-02 02:00:00+00:00,758.28,3.24,19.03,23.47,2.63,59.09,74.59,10.13
2025-07-02 03:00:00+00:00,779.42,4.2,17.81,33.61,3.14,62.62,77.86,9.89
2025-07-02 04:00:00+00:00,569.65,0.53,7.24,78.11,3.16,45.6,52.52,5.09
2025-07-02 05:00:00+00:00,498.84,0.23,4.74,84.25,2.41,35.81,39.74,3.53
2025-07-02 06:00:00+00:00,475.77,0.16,4.73,82.23,2.22,33.25,36.37,3.22
2025-07-02 07:00:00+00:00,461.43,0.19,4.82,80.44,2.0,29.95,32.5,3.01
2025-07-02 08:00:00+00:00,443.73,0.25,4.37,81.81,1.63,27.23,29.32,2.8
2025-07-02 09:00:00+00:00,432.67,0.25,3.79,87.04,1.35,27.2,29.01,2.73
2025-07-02 10:00:00+00:00,428.17,0.19,3.4,94.98,1.16,29.08,30.72,2.75
2025-07-02 11:00:00+00:00,429.02,0.14,3.49,101.43,1.05,30.77,32.36,2.87
2025-07-02 12:00:00+00:00,436.26,0.1,3.9,106.92,1.0,32.29,33.91,3.01
2025-07-02 13:00:00+00:00,462.67,0.07,5.87,106.94,1.17,35.98,38.37,4.47
2025-07-02 14:00:00+00:00,505.0,0.01,8.43,101.61,1.54,41.85,45.79,6.82
2025-07-02 15:00:00+00:00,542.92,0.0,9.57,97.81,1.83,46.87,52.3,8.23
2025-07-02 16:00:00+00:00,571.12,0.0,9.96,94.12,2.02,51.02,57.46,8.46
2025-07-02 17:00:00+00:00,599.63,0.0,10.09,90.23,2.12,54.92,61.93,7.99
2025-07-02 18:00:00+00:00,619.77,0.0,9.94,85.5,2.07,56.95,64.01,7.19
2025-07-02 19:00:00+00:00,629.77,0.0,9.48,78.92,1.89,56.74,63.31,6.43
2025-07-02 20:00:00+00:00,645.24,0.0,9.32,71.96,1.71,56.03,62.17,6.16
2025-07-02 21:00:00+00:00,656.26,0.0,9.04,66.71,1.54,54.48,60.09,6.16
2025-07-02 22:00:00+00:00,656.27,0.0,8.5,63.34,1.4,52.01,57.14,6.08
2025-07-02 23:00:00+00:00,660.29,0.0,8.1,60.02,1.29,50.45,55.41,5.58
2025-07-03 00:00:00+00:00,664.09,0.0,7.72,57.5,1.25,49.01,53.88,5.12
2025-07-03 01:00:00+00:00,664.46,0.0,7.5,55.99,1.28,46.05,50.92,4.82
2025-07-03 02:00:00+00:00,671.93,0.07,8.31,54.63,1.39,42.37,47.44,4.74
2025-07-03 03:00:00+00:00,676.68,0.2,9.02,56.26,1.49,39.68,44.8,4.73
2025-07-03 04:00:00+00:00,662.65,0.34,7.4,69.23,1.34,34.23,38.43,4.1
2025-07-03 05:00:00+00:00,652.0,0.39,5.65,86.2,1.22,33.76,37.26,3.85
2025-07-03 06:00:00+00:00,648.27,0.33,4.09,105.88,1.15,38.81,41.93,3.73
2025-07-03 07:00:00+00:00,634.99,0.23,2.51,123.12,0.84,37.71,39.91,2.86
2025-07-03 08:00:00+00:00,614.87,0.18,2.03,130.34,0.69,36.18,37.92,2.5
2025-07-03 09:00:00+00:00,599.01,0.18,1.96,135.69,0.68,37.04,38.75,2.58
2025-07-03 10:00:00+00:00,589.38,0.18,2.11,140.19,0.71,37.37,39.2,2.8
2025-07-03 11:00:00+00:00,581.31,0.17,2.58,141.08,0.76,36.34,38.35,3.13
2025-07-03 12:00:00+00:00,575.22,0.13,3.36,139.49,0.81,34.03,36.2,3.49
2025-07-03 13:00:00+00:00,593.39,0.08,6.37,129.22,1.1,33.91,36.87,5.28
2025-07-03 14:00:00+00:00,637.18,0.01,9.97,113.63,1.53,36.43,40.93,7.92
2025-07-03 15:00:00+00:00,680.04,0.0,11.68,102.4,1.8,39.09,44.99,9.36
2025-07-03 16:00:00+00:00,707.89,0.0,12.36,92.14,1.94,40.7,47.18,9.18
2025-07-03 17:00:00+00:00,739.7,0.0,12.67,84.68,2.0,42.45,49.06,8.18
2025-07-03 18:00:00+00:00,758.95,0.0,12.35,80.29,1.87,43.91,49.96,7.25
2025-07-03 19:00:00+00:00,762.04,0.0,11.73,75.57,1.49,44.81,50.34,7.24
2025-07-03 20:00:00+00:00,768.61,0.0,11.35,69.64,1.23,46.21,51.95,7.82
